Iteration,D1,D2,D3,D9,D14
1,142855,4305,138561,13,6
2,177,4305,138561,13,6
3,175,4305,138561,13,6
4,173,4305,138561,13,6
5,171,4305,138561,13,6
6,1,4305,138561,13,6
7,0,4305,138561,13,6
8,0,4289,138501,13,6
9,0,4200,135507,13,6
10,0,4182,132506,13,6
11,0,4172,131959,13,6
12,0,113,9729,13,6
13,0,112,9111,13,6
14,0,101,9014,13,6
15,0,90,8913,13,6
16,0,79,8818,13,6
17,0,69,8722,13,6
18,0,58,8621,13,6
19,0,57,8605,13,6
20,0,56,8602,13,6
21,0,38,5966,13,6
22,0,37,5858,13,6
23,0,36,5750,13,6
24,0,34,5376,13,6
25,0,29,5194,13,6
26,0,28,5084,13,6
27,0,27,4974,13,6
28,0,26,4864,13,6
29,0,24,3590,13,6
30,0,23,3540,13,6
31,0,22,3499,13,6
32,0,21,3311,13,6
33,0,13,3221,13,6
34,0,8,3127,13,6
35,0,0,3036,13,6
36,0,0,3025,13,6
37,0,0,3023,13,6
38,0,0,3021,13,6
39,0,0,3019,13,6
40,0,0,2870,13,6
41,0,0,2869,13,6
42,0,0,2775,13,6
43,0,0,2681,13,6
44,0,0,2575,13,6
45,0,0,2469,13,6
46,0,0,2375,13,6
47,0,0,2268,13,6
48,0,0,2162,13,6
49,0,0,2068,13,6
50,0,0,1962,13,6
51,0,0,1856,13,6
52,0,0,0,13,6
53,0,0,0,0,6
54,0,0,0,0,0
